return_id,shipment_id,sku_id,return_date,quantity_returned,return_reason,damage_flag,inspection_status,refund_amount_inr,restock_eligible
RET1001,SHP5008,SKU1029,2026-07-15,2,Customer Cancelled,1,Rejected,10468,Yes
RET1002,SHP5005,SKU1039,2026-07-16,6,Transit Damage,0,Approved,16741,Yes
RET1003,SHP5009,SKU1039,2026-07-17,6,Defective Product,1,Approved,24647,No
RET1004,SHP5001,SKU1001,2026-07-18,1,Wrong Item Delivered,1,Approved,6439,Yes
RET1005,SHP5036,SKU1017,2026-07-19,7,Defective Product,1,Approved,15196,Yes
RET1006,SHP5035,SKU1041,2026-07-20,8,Customer Cancelled,0,Approved,15294,Yes
RET1007,SHP5002,SKU1030,2026-07-21,2,Transit Damage,0,Approved,2795,No
RET1008,SHP5040,SKU1013,2026-07-22,8,Customer Cancelled,0,Pending Review,22569,No
RET1009,SHP5023,SKU1021,2026-07-23,9,Transit Damage,0,Rejected,2196,No
RET1010,SHP5009,SKU1019,2026-07-24,6,Expired Batch,1,Approved,11685,No
RET1011,SHP5034,SKU1019,2026-07-25,5,Wrong Item Delivered,0,Pending Review,18830,No
RET1012,SHP5046,SKU1025,2026-07-26,9,Expired Batch,1,Rejected,12501,No
RET1013,SHP5014,SKU1022,2026-07-27,9,Expired Batch,1,Rejected,14850,No
RET1014,SHP5004,SKU1031,2026-07-28,1,Customer Cancelled,1,Approved,19667,Yes
RET1015,SHP5030,SKU1017,2026-07-29,3,Wrong Item Delivered,1,Approved,4144,Yes
RET1016,SHP5031,SKU1023,2026-07-30,9,Transit Damage,0,Approved,22125,Yes
RET1017,SHP5038,SKU1032,2026-07-31,2,Transit Damage,0,Approved,6920,Yes
RET1018,SHP5011,SKU1010,2026-08-01,4,Defective Product,0,Approved,24441,No
RET1019,SHP5035,SKU1010,2026-08-02,4,Transit Damage,1,Approved,12337,Yes
RET1020,SHP5008,SKU1036,2026-08-03,2,Customer Cancelled,1,Approved,19529,Yes
RET1021,SHP5003,SKU1008,2026-08-04,3,Expired Batch,1,Rejected,23473,Yes
RET1022,SHP5014,SKU1020,2026-08-05,3,Expired Batch,1,Approved,6853,Yes
RET1023,SHP5013,SKU1032,2026-08-06,1,Expired Batch,1,Approved,11041,No
RET1024,SHP5045,SKU1050,2026-08-07,6,Wrong Item Delivered,0,Pending Review,2432,No
RET1025,SHP5032,SKU1014,2026-08-08,8,Transit Damage,1,Pending Review,11986,No
RET1026,SHP5034,SKU1050,2026-08-09,3,Customer Cancelled,0,Rejected,2257,Yes
RET1027,SHP5045,SKU1028,2026-08-10,5,Wrong Item Delivered,1,Pending Review,5585,No
RET1028,SHP5019,SKU1046,2026-08-11,1,Defective Product,1,Approved,6137,Yes
RET1029,SHP5038,SKU1024,2026-08-12,7,Customer Cancelled,0,Pending Review,1616,No
RET1030,SHP5016,SKU1015,2026-08-13,1,Customer Cancelled,0,Approved,11259,No
RET1031,SHP5002,SKU1022,2026-08-14,9,Customer Cancelled,1,Approved,12191,No
RET1032,SHP5040,SKU1030,2026-08-15,8,Expired Batch,1,Approved,992,No
RET1033,SHP5017,SKU1004,2026-08-16,7,Customer Cancelled,1,Approved,9311,No
RET1034,SHP5034,SKU1013,2026-08-17,7,Transit Damage,1,Approved,24772,Yes
RET1035,SHP5042,SKU1023,2026-08-18,5,Customer Cancelled,0,Approved,6974,No
RET1036,SHP5016,SKU1008,2026-08-19,5,Expired Batch,1,Rejected,14885,Yes
RET1037,SHP5038,SKU1018,2026-08-20,5,Customer Cancelled,0,Approved,10238,Yes
RET1038,SHP5002,SKU1012,2026-08-21,1,Defective Product,1,Approved,21842,Yes
RET1039,SHP5002,SKU1031,2026-08-22,8,Defective Product,0,Rejected,14479,Yes
RET1040,SHP5026,SKU1014,2026-08-23,1,Expired Batch,0,Approved,12255,Yes
RET1041,SHP5013,SKU1034,2026-08-24,4,Transit Damage,1,Approved,10297,No
RET1042,SHP5047,SKU1018,2026-08-25,9,Transit Damage,0,Approved,15107,No
RET1043,SHP5031,SKU1034,2026-08-26,9,Wrong Item Delivered,1,Approved,13367,No
RET1044,SHP5034,SKU1011,2026-08-27,5,Expired Batch,0,Approved,19627,No
RET1045,SHP5039,SKU1041,2026-08-28,4,Customer Cancelled,1,Pending Review,8366,Yes
RET1046,SHP5003,SKU1012,2026-08-29,3,Expired Batch,0,Approved,15949,No
RET1047,SHP5008,SKU1049,2026-08-30,3,Wrong Item Delivered,1,Approved,11185,No
RET1048,SHP5023,SKU1015,2026-08-31,5,Expired Batch,1,Pending Review,24044,Yes
RET1049,SHP5014,SKU1031,2026-09-01,1,Expired Batch,0,Rejected,5951,Yes
RET1050,SHP5027,SKU1049,2026-09-02,5,Wrong Item Delivered,0,Approved,22142,No
