inventory_id,warehouse_id,sku_id,stock_on_hand,allocated_stock,available_stock,reorder_level,last_audit_date,damaged_stock,inventory_value_inr
INV1001,WH044,SKU1027,510,24,486,137,2026-06-01,0,1109760
INV1002,WH035,SKU1031,82,81,1,68,2026-06-02,13,642962
INV1003,WH022,SKU1006,722,88,634,44,2026-06-03,0,3842484
INV1004,WH044,SKU1027,305,11,294,149,2026-06-04,2,663680
INV1005,WH024,SKU1040,26,14,12,142,2026-06-05,12,219908
INV1006,WH017,SKU1034,650,58,592,33,2026-06-06,13,4217200
INV1007,WH010,SKU1012,226,25,201,122,2026-06-07,7,391206
INV1008,WH030,SKU1045,70,25,45,115,2026-06-08,13,459970
INV1009,WH046,SKU1007,948,46,902,54,2026-06-09,1,1750008
INV1010,WH023,SKU1010,625,31,594,42,2026-06-10,3,4191250
INV1011,WH032,SKU1045,51,9,42,111,2026-06-11,1,335121
INV1012,WH017,SKU1017,34,15,19,62,2026-06-12,13,240788
INV1013,WH050,SKU1026,48,70,0,45,2026-06-13,4,60576
INV1014,WH017,SKU1021,812,16,796,138,2026-06-14,8,6781824
INV1015,WH014,SKU1028,140,22,118,71,2026-06-15,0,209440
INV1016,WH009,SKU1046,507,25,482,137,2026-06-16,4,2233842
INV1017,WH040,SKU1002,238,84,154,95,2026-06-17,13,1147398
INV1018,WH002,SKU1043,117,85,32,84,2026-06-18,14,1118637
INV1019,WH045,SKU1001,181,6,175,128,2026-06-19,8,1268629
INV1020,WH025,SKU1036,444,13,431,71,2026-06-20,14,5183700
INV1021,WH039,SKU1026,487,78,409,63,2026-06-21,0,614594
INV1022,WH009,SKU1029,111,6,105,59,2026-06-22,8,1525362
INV1023,WH022,SKU1021,875,8,867,148,2026-06-23,7,7308000
INV1024,WH043,SKU1011,533,47,486,42,2026-06-24,3,3235310
INV1025,WH046,SKU1040,284,71,213,42,2026-06-25,11,2402072
INV1026,WH004,SKU1011,622,58,564,47,2026-06-26,10,3775540
INV1027,WH026,SKU1036,53,86,0,61,2026-06-27,9,618775
INV1028,WH029,SKU1049,964,92,872,125,2026-06-28,4,12638040
INV1029,WH045,SKU1039,826,81,745,128,2026-06-29,12,6410586
INV1030,WH034,SKU1040,966,94,872,68,2026-06-30,4,8170428
INV1031,WH023,SKU1035,26,93,0,75,2026-07-01,10,98696
INV1032,WH037,SKU1034,339,38,301,145,2026-07-02,11,2199432
INV1033,WH011,SKU1047,578,98,480,58,2026-07-03,5,5713530
INV1034,WH006,SKU1024,832,17,815,91,2026-07-04,6,8708544
INV1035,WH018,SKU1022,506,58,448,142,2026-07-05,7,3010700
INV1036,WH021,SKU1005,824,16,808,122,2026-07-06,14,4388624
INV1037,WH042,SKU1033,21,13,8,91,2026-07-07,13,101472
INV1038,WH036,SKU1036,327,30,297,146,2026-07-08,7,3817725
INV1039,WH041,SKU1047,601,23,578,137,2026-07-09,10,5940885
INV1040,WH038,SKU1020,225,98,127,86,2026-07-10,13,3083175
INV1041,WH034,SKU1019,348,59,289,45,2026-07-11,12,1143528
INV1042,WH017,SKU1035,785,44,741,85,2026-07-12,1,2979860
INV1043,WH037,SKU1043,670,97,573,137,2026-07-13,8,6405870
INV1044,WH025,SKU1017,90,2,88,140,2026-07-14,6,637380
INV1045,WH038,SKU1045,736,36,700,39,2026-07-15,3,4836256
INV1046,WH012,SKU1043,494,42,452,59,2026-07-16,3,4723134
INV1047,WH023,SKU1034,383,39,344,54,2026-07-17,10,2484904
INV1048,WH042,SKU1009,985,89,896,132,2026-07-18,7,2952045
INV1049,WH022,SKU1026,719,54,665,113,2026-07-19,3,907378
INV1050,WH021,SKU1002,209,86,123,34,2026-07-20,12,1007589
