order_id,customer_id,order_date,warehouse_id,order_status,priority_level,payment_method,total_items_count,total_amount_inr,discount_applied_inr
ORD1001,CUST162,2026-07-01,WH011,Processing,Standard,NEFT/RTGS,10,123677.62,1419.27
ORD1002,CUST153,2026-07-02,WH034,Processing,Standard,Net Banking,8,166900.93,1795.76
ORD1003,CUST173,2026-07-03,WH024,Delivered,Urgent,Corporate UPI,2,140485.36,1919.24
ORD1004,CUST197,2026-07-04,WH015,Processing,Standard,Credit Card,12,151381.59,2329.06
ORD1005,CUST156,2026-07-05,WH038,Delivered,Standard,Credit Card,1,197038.98,4179.99
ORD1006,CUST189,2026-07-06,WH008,Delivered,Standard,NEFT/RTGS,2,122821.44,1178.96
ORD1007,CUST140,2026-07-07,WH005,Shipped,Express,NEFT/RTGS,1,14984.76,3880.0
ORD1008,CUST102,2026-07-08,WH048,Delivered,Express,Credit Card,1,45179.87,2026.55
ORD1009,CUST105,2026-07-09,WH026,Processing,Standard,Net Banking,9,112458.77,3009.28
ORD1010,CUST104,2026-07-10,WH018,Processing,Standard,Net Banking,13,182582.51,3162.7
ORD1011,CUST104,2026-07-11,WH006,Delivered,Express,Corporate UPI,14,150353.27,1864.24
ORD1012,CUST153,2026-07-12,WH037,Delivered,Express,Net Banking,1,164322.08,2563.08
ORD1013,CUST146,2026-07-13,WH048,Delivered,Standard,NEFT/RTGS,13,122423.34,2065.16
ORD1014,CUST186,2026-07-14,WH013,Shipped,Urgent,NEFT/RTGS,4,155856.8,345.66
ORD1015,CUST148,2026-07-15,WH028,Pending,Standard,Net Banking,10,85609.27,2185.83
ORD1016,CUST108,2026-07-16,WH005,Shipped,Standard,NEFT/RTGS,6,120194.74,486.97
ORD1017,CUST198,2026-07-17,WH013,Delivered,Urgent,Credit Card,7,187348.37,2025.1
ORD1018,CUST119,2026-07-18,WH017,Shipped,Standard,Credit Card,2,218599.03,2964.59
ORD1019,CUST160,2026-07-19,WH050,Delivered,Express,Net Banking,6,111245.56,2897.07
ORD1020,CUST134,2026-07-20,WH040,Shipped,Standard,Credit Card,7,15697.11,3313.11
ORD1021,CUST149,2026-07-21,WH045,Delivered,Standard,Credit Card,10,44609.77,476.31
ORD1022,CUST181,2026-07-22,WH032,Shipped,Urgent,Corporate UPI,14,10110.98,3260.62
ORD1023,CUST161,2026-07-23,WH029,Delivered,Standard,Corporate UPI,10,165049.44,1560.74
ORD1024,CUST116,2026-07-24,WH003,Pending,Express,Credit Card,2,86417.08,1995.23
ORD1025,CUST187,2026-07-25,WH040,Delivered,Standard,Net Banking,2,137907.27,4289.93
ORD1026,CUST102,2026-07-26,WH034,Shipped,Standard,Corporate UPI,10,125852.83,45.15
ORD1027,CUST131,2026-07-27,WH040,Cancelled,Standard,NEFT/RTGS,7,24973.99,2942.06
ORD1028,CUST198,2026-07-28,WH027,Delivered,Express,NEFT/RTGS,12,103799.03,2993.57
ORD1029,CUST112,2026-07-29,WH013,Cancelled,Standard,NEFT/RTGS,1,59037.48,1983.3
ORD1030,CUST188,2026-07-30,WH045,Shipped,Express,Net Banking,8,107507.95,1185.14
ORD1031,CUST172,2026-07-31,WH033,Delivered,Standard,Credit Card,11,54876.68,1173.37
ORD1032,CUST167,2026-08-01,WH006,Delivered,Urgent,NEFT/RTGS,13,210910.84,4418.55
ORD1033,CUST113,2026-08-02,WH024,Shipped,Standard,Net Banking,3,47677.37,2210.12
ORD1034,CUST197,2026-08-03,WH019,Delivered,Express,Corporate UPI,11,240391.24,1654.45
ORD1035,CUST110,2026-08-04,WH016,Delivered,Express,Credit Card,6,106897.3,2243.89
ORD1036,CUST155,2026-08-05,WH040,Delivered,Express,Corporate UPI,9,212330.1,3346.95
ORD1037,CUST166,2026-08-06,WH028,Shipped,Express,Net Banking,6,159047.38,728.78
ORD1038,CUST191,2026-08-07,WH033,Delivered,Express,NEFT/RTGS,9,185160.82,2247.17
ORD1039,CUST128,2026-08-08,WH048,Processing,Express,NEFT/RTGS,7,193092.35,2939.42
ORD1040,CUST108,2026-08-09,WH041,Pending,Standard,Net Banking,9,128687.0,4742.92
ORD1041,CUST166,2026-08-10,WH013,Pending,Standard,NEFT/RTGS,2,138108.63,1262.64
ORD1042,CUST124,2026-08-11,WH043,Shipped,Urgent,Credit Card,12,130928.99,1796.25
ORD1043,CUST197,2026-08-12,WH045,Delivered,Express,Net Banking,8,149074.3,1896.79
ORD1044,CUST175,2026-08-13,WH025,Shipped,Express,Corporate UPI,8,12201.64,3027.69
ORD1045,CUST141,2026-08-14,WH042,Delivered,Standard,Net Banking,2,101901.22,1783.66
ORD1046,CUST108,2026-08-15,WH036,Delivered,Standard,Credit Card,12,153516.23,2667.56
ORD1047,CUST178,2026-08-16,WH027,Delivered,Standard,Credit Card,14,151442.27,3908.95
ORD1048,CUST139,2026-08-17,WH038,Delivered,Express,Net Banking,4,199274.24,3526.93
ORD1049,CUST124,2026-08-18,WH007,Shipped,Standard,Net Banking,14,165477.29,2231.84
ORD1050,CUST104,2026-08-19,WH005,Shipped,Standard,NEFT/RTGS,11,248072.66,4321.08
