item_id,order_id,sku_id,quantity,unit_price_inr,total_price_inr,tax_amount_inr,discount_pct,item_status,warehouse_bin_loc
ITEM1001,ORD1006,SKU1038,4,14551,55293.8,9952.88,5,Shipped,BIN-08
ITEM1002,ORD1044,SKU1005,2,11522,23044.0,4147.92,0,Packed,BIN-38
ITEM1003,ORD1020,SKU1047,6,8734,49783.8,8961.08,5,Picked,BIN-08
ITEM1004,ORD1050,SKU1022,14,9635,121401.0,21852.18,10,Picked,BIN-03
ITEM1005,ORD1014,SKU1047,4,11082,39895.2,7181.14,10,Shipped,BIN-44
ITEM1006,ORD1002,SKU1034,6,5945,32103.0,5778.54,10,Shipped,BIN-03
ITEM1007,ORD1009,SKU1001,19,11237,181477.55,32665.96,15,Packed,BIN-22
ITEM1008,ORD1037,SKU1026,6,11103,63287.1,11391.68,5,Shipped,BIN-06
ITEM1009,ORD1020,SKU1043,2,13678,24620.4,4431.67,10,Shipped,BIN-02
ITEM1010,ORD1026,SKU1010,18,7070,127260.0,22906.8,0,Picked,BIN-23
ITEM1011,ORD1029,SKU1030,13,9696,113443.2,20419.78,10,Packed,BIN-44
ITEM1012,ORD1001,SKU1050,9,8712,70567.2,12702.1,10,Picked,BIN-02
ITEM1013,ORD1035,SKU1018,19,906,15492.6,2788.67,10,Picked,BIN-38
ITEM1014,ORD1006,SKU1017,13,9706,107251.3,19305.23,15,Shipped,BIN-17
ITEM1015,ORD1037,SKU1026,11,4931,54241.0,9763.38,0,Packed,BIN-35
ITEM1016,ORD1005,SKU1008,1,10530,10003.5,1800.63,5,Packed,BIN-34
ITEM1017,ORD1033,SKU1047,7,11880,83160.0,14968.8,0,Picked,BIN-23
ITEM1018,ORD1049,SKU1040,15,5743,81837.75,14730.8,5,Picked,BIN-30
ITEM1019,ORD1014,SKU1049,1,7042,5985.7,1077.43,15,Picked,BIN-08
ITEM1020,ORD1012,SKU1012,12,7436,75847.2,13652.5,15,Picked,BIN-22
ITEM1021,ORD1042,SKU1027,7,14615,86959.25,15652.66,15,Packed,BIN-44
ITEM1022,ORD1020,SKU1008,15,9406,119926.5,21586.77,15,Picked,BIN-36
ITEM1023,ORD1050,SKU1025,19,4646,83860.3,15094.85,5,Packed,BIN-05
ITEM1024,ORD1024,SKU1046,1,12546,11291.4,2032.45,10,Picked,BIN-13
ITEM1025,ORD1043,SKU1004,17,13111,211742.65,38113.68,5,Picked,BIN-29
ITEM1026,ORD1034,SKU1033,17,13576,230792.0,41542.56,0,Picked,BIN-31
ITEM1027,ORD1025,SKU1001,3,640,1632.0,293.76,15,Packed,BIN-47
ITEM1028,ORD1050,SKU1019,12,13257,135221.4,24339.85,15,Packed,BIN-16
ITEM1029,ORD1029,SKU1031,6,5382,32292.0,5812.56,0,Packed,BIN-42
ITEM1030,ORD1039,SKU1016,11,14613,152705.85,27487.05,5,Packed,BIN-30
ITEM1031,ORD1031,SKU1014,3,14145,38191.5,6874.47,10,Shipped,BIN-16
ITEM1032,ORD1047,SKU1048,8,6512,46886.4,8439.55,10,Picked,BIN-12
ITEM1033,ORD1043,SKU1005,14,1463,20482.0,3686.76,0,Picked,BIN-17
ITEM1034,ORD1050,SKU1041,14,7651,96402.6,17352.47,10,Shipped,BIN-16
ITEM1035,ORD1023,SKU1026,10,9064,86108.0,15499.44,5,Packed,BIN-12
ITEM1036,ORD1044,SKU1028,2,12327,23421.3,4215.83,5,Picked,BIN-08
ITEM1037,ORD1038,SKU1002,14,11233,157262.0,28307.16,0,Shipped,BIN-20
ITEM1038,ORD1020,SKU1050,9,4110,35140.5,6325.29,5,Shipped,BIN-03
ITEM1039,ORD1023,SKU1006,3,10384,26479.2,4766.26,15,Picked,BIN-16
ITEM1040,ORD1045,SKU1009,8,7394,59152.0,10647.36,0,Packed,BIN-30
ITEM1041,ORD1016,SKU1033,16,13967,212298.4,38213.71,5,Packed,BIN-45
ITEM1042,ORD1050,SKU1041,2,14459,28918.0,5205.24,0,Packed,BIN-23
ITEM1043,ORD1042,SKU1025,6,7811,42179.4,7592.29,10,Picked,BIN-28
ITEM1044,ORD1008,SKU1048,12,605,6897.0,1241.46,5,Picked,BIN-40
ITEM1045,ORD1050,SKU1013,5,6039,25665.75,4619.84,15,Packed,BIN-05
ITEM1046,ORD1021,SKU1009,2,10373,19708.7,3547.57,5,Packed,BIN-20
ITEM1047,ORD1001,SKU1013,16,12789,204624.0,36832.32,0,Shipped,BIN-40
ITEM1048,ORD1008,SKU1031,5,12708,63540.0,11437.2,0,Packed,BIN-44
ITEM1049,ORD1029,SKU1041,15,11328,161424.0,29056.32,5,Picked,BIN-01
ITEM1050,ORD1032,SKU1011,12,7287,74327.4,13378.93,15,Packed,BIN-30
