shipment_id,order_id,carrier_id,origin_city,destination_city,distance_km,shipping_cost_inr,weight_kg,dispatch_date,vehicle_number
SHP5001,ORD1001,CAR031,Mumbai,Surat,1883,21595,489.7,2026-07-05,MH-28-AB-3990
SHP5002,ORD1002,CAR020,Delhi,Nagpur,1377,17654,318.9,2026-07-06,MH-23-AB-1933
SHP5003,ORD1003,CAR024,Hyderabad,Nagpur,2091,9504,67.5,2026-07-07,MH-62-AB-3723
SHP5004,ORD1004,CAR025,Bengaluru,Indore,1167,11252,339.7,2026-07-08,MH-49-AB-1285
SHP5005,ORD1005,CAR036,Hyderabad,Patna,1677,44860,165.9,2026-07-09,MH-18-AB-7816
SHP5006,ORD1006,CAR021,Nagpur,Kanpur,1111,28319,344.7,2026-07-10,MH-61-AB-2762
SHP5007,ORD1007,CAR030,Chennai,Vadodara,873,38132,39.5,2026-07-11,MH-68-AB-1040
SHP5008,ORD1008,CAR024,Ahmedabad,Lucknow,1914,28015,91.6,2026-07-12,MH-77-AB-9259
SHP5009,ORD1009,CAR044,Chennai,Nagpur,1301,25717,428.6,2026-07-13,MH-17-AB-8804
SHP5010,ORD1010,CAR042,Jaipur,Kanpur,1550,24672,117.5,2026-07-14,MH-95-AB-4198
SHP5011,ORD1011,CAR030,Delhi,Nagpur,406,34494,419.3,2026-07-15,MH-64-AB-8183
SHP5012,ORD1012,CAR022,Hyderabad,Vadodara,878,16536,143.2,2026-07-16,MH-71-AB-3479
SHP5013,ORD1013,CAR028,Pune,Lucknow,107,13239,323.2,2026-07-17,MH-39-AB-6154
SHP5014,ORD1014,CAR007,Ahmedabad,Indore,575,33720,348.6,2026-07-18,MH-20-AB-2492
SHP5015,ORD1015,CAR035,Pune,Surat,1420,11087,258.8,2026-07-19,MH-30-AB-2348
SHP5016,ORD1016,CAR028,Hyderabad,Indore,584,31629,156.1,2026-07-20,MH-57-AB-8851
SHP5017,ORD1017,CAR014,Nagpur,Nagpur,1004,2145,110.3,2026-07-21,MH-42-AB-8156
SHP5018,ORD1018,CAR010,Chennai,Indore,658,32430,21.4,2026-07-22,MH-82-AB-4516
SHP5019,ORD1019,CAR016,Hyderabad,Kanpur,2067,17799,155.5,2026-07-23,MH-18-AB-5577
SHP5020,ORD1020,CAR016,Nagpur,Pune,1227,31590,328.3,2026-07-24,MH-97-AB-8468
SHP5021,ORD1021,CAR031,Chennai,Nagpur,1333,23453,469.5,2026-07-25,MH-96-AB-2447
SHP5022,ORD1022,CAR042,Nagpur,Nagpur,567,27975,436.2,2026-07-26,MH-85-AB-7581
SHP5023,ORD1023,CAR025,Mumbai,Kanpur,947,20388,384.2,2026-07-27,MH-85-AB-7317
SHP5024,ORD1024,CAR013,Bengaluru,Patna,358,17587,395.3,2026-07-28,MH-56-AB-1526
SHP5025,ORD1025,CAR006,Delhi,Lucknow,382,10846,334.2,2026-07-29,MH-28-AB-7748
SHP5026,ORD1026,CAR044,Nagpur,Surat,1749,2087,133.8,2026-07-30,MH-31-AB-8986
SHP5027,ORD1027,CAR009,Mumbai,Kanpur,1998,14263,454.1,2026-07-31,MH-47-AB-4740
