tracking_id,shipment_id,promised_delivery_date,actual_delivery_date,delay_days,delay_reason,delivery_status,recipient_signature_flag,attempt_count,customer_satisfaction_score
TRK1001,SHP5001,2026-07-07,2026-07-07,0,On Time,Delivered,Yes,3,4
TRK1002,SHP5002,2026-07-12,2026-07-17,5,Traffic Congestion,Delayed,Yes,1,4
TRK1003,SHP5003,2026-07-09,2026-07-09,0,On Time,Delivered,Yes,1,5
TRK1004,SHP5004,2026-07-10,2026-07-15,5,Traffic Congestion,Delayed,Yes,1,5
TRK1005,SHP5005,2026-07-11,2026-07-11,0,On Time,Delivered,Yes,1,4
TRK1006,SHP5006,2026-07-16,2026-07-21,5,Hub Bottleneck,Delayed,Yes,2,5
TRK1007,SHP5007,2026-07-15,2026-07-17,2,Customs Clearance,Delivered,Yes,1,5
TRK1008,SHP5008,2026-07-16,2026-07-16,0,On Time,Delivered,No,2,4
TRK1009,SHP5009,2026-07-15,2026-07-15,0,On Time,Delivered,Yes,1,5
TRK1010,SHP5010,2026-07-20,2026-07-20,0,On Time,Delivered,Yes,1,5
TRK1011,SHP5011,2026-07-19,2026-07-19,0,On Time,Delivered,Yes,1,4
TRK1012,SHP5012,2026-07-20,2026-07-20,0,On Time,Delivered,Yes,1,4
TRK1013,SHP5013,2026-07-21,2026-07-23,2,Vehicle Breakdown,Delivered,Yes,1,5
TRK1014,SHP5014,2026-07-24,2026-07-24,0,On Time,Delivered,Yes,2,5
TRK1015,SHP5015,2026-07-25,2026-07-28,3,Weather Delay,Delayed,Yes,1,5
TRK1016,SHP5016,2026-07-22,2026-07-22,0,On Time,Delivered,Yes,1,4
TRK1017,SHP5017,2026-07-26,2026-07-26,0,On Time,Delivered,Yes,1,5
TRK1018,SHP5018,2026-07-26,2026-07-29,3,Hub Bottleneck,Delayed,Yes,3,2
TRK1019,SHP5019,2026-07-28,2026-07-28,0,On Time,Delivered,Yes,1,1
TRK1020,SHP5020,2026-07-30,2026-07-30,0,On Time,Delivered,Yes,2,5
TRK1021,SHP5021,2026-07-31,2026-08-05,5,Vehicle Breakdown,Delayed,Yes,1,4
TRK1022,SHP5022,2026-08-01,2026-08-02,1,Customs Clearance,Delivered,Yes,1,4
TRK1023,SHP5023,2026-08-01,2026-08-01,0,On Time,Delivered,Yes,1,4
TRK1024,SHP5024,2026-08-03,2026-08-04,1,Traffic Congestion,Delivered,No,1,4
TRK1025,SHP5025,2026-07-31,2026-08-03,3,Customs Clearance,Delayed,Yes,1,1
TRK1026,SHP5026,2026-08-05,2026-08-05,0,On Time,Delivered,No,1,5
TRK1027,SHP5027,2026-08-03,2026-08-05,2,Weather Delay,Delivered,Yes,1,4
TRK1028,SHP5028,2026-08-06,2026-08-06,0,On Time,Delivered,Yes,1,5
TRK1029,SHP5029,2026-08-05,2026-08-07,2,Hub Bottleneck,Delivered,Yes,1,5
TRK1030,SHP5030,2026-08-09,2026-08-12,3,Hub Bottleneck,Delayed,Yes,2,5
TRK1031,SHP5031,2026-08-06,2026-08-06,0,On Time,Delivered,No,1,1
TRK1032,SHP5032,2026-08-09,2026-08-12,3,Weather Delay,Delayed,Yes,2,5
TRK1033,SHP5033,2026-08-12,2026-08-12,0,On Time,Delivered,Yes,1,5
TRK1034,SHP5034,2026-08-09,2026-08-09,0,On Time,Delivered,Yes,1,5
TRK1035,SHP5035,2026-08-13,2026-08-13,0,On Time,Delivered,Yes,1,5
TRK1036,SHP5036,2026-08-12,2026-08-15,3,Vehicle Breakdown,Delayed,Yes,1,5
TRK1037,SHP5037,2026-08-13,2026-08-14,1,Vehicle Breakdown,Delivered,Yes,1,4
TRK1038,SHP5038,2026-08-14,2026-08-14,0,On Time,Delivered,Yes,1,5
TRK1039,SHP5039,2026-08-17,2026-08-17,0,On Time,Delivered,Yes,1,5
TRK1040,SHP5040,2026-08-15,2026-08-15,0,On Time,Delivered,Yes,1,5
TRK1041,SHP5041,2026-08-19,2026-08-24,5,Hub Bottleneck,Delayed,Yes,1,5
TRK1042,SHP5042,2026-08-18,2026-08-20,2,Hub Bottleneck,Delivered,Yes,1,4
TRK1043,SHP5043,2026-08-22,2026-08-27,5,Traffic Congestion,Delayed,No,1,5
TRK1044,SHP5044,2026-08-21,2026-08-21,0,On Time,Delivered,Yes,1,2
TRK1045,SHP5045,2026-08-23,2026-08-25,2,Vehicle Breakdown,Delivered,Yes,3,1
TRK1046,SHP5046,2026-08-24,2026-08-26,2,Weather Delay,Delivered,Yes,2,1
TRK1047,SHP5047,2026-08-22,2026-08-25,3,Vehicle Breakdown,Delayed,Yes,1,4
TRK1048,SHP5048,2026-08-23,2026-08-23,0,On Time,Delivered,Yes,1,5
TRK1049,SHP5049,2026-08-27,2026-09-01,5,Traffic Congestion,Delayed,No,1,2
TRK1050,SHP5050,2026-08-26,2026-08-31,5,Hub Bottleneck,Delayed,Yes,1,1
